epoch,mode,loss,acc,eval_acc,complexity,information_loss,distractors,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,train_method,batch_size,random_seed,data_seed
84,train,0.08540278673171997,0.9381999969482422,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
84,test,0.08803654462099075,0.9289999008178711,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
85,train,0.08540239185094833,0.9386000633239746,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
85,test,0.08803613483905792,0.9409999847412109,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
86,train,0.0854020044207573,0.9402000308036804,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
86,test,0.08803577721118927,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
87,train,0.08540166914463043,0.9394000172615051,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
87,test,0.0880354642868042,0.9360000491142273,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
88,train,0.08540133386850357,0.9386000037193298,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
88,test,0.08803513646125793,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
89,train,0.0854010358452797,0.9381999969482422,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
89,test,0.08803486824035645,0.9350000619888306,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
90,train,0.08540075272321701,0.940000057220459,0.9375,18.47117692525756,61.86261457037681,50,100,200,100,200,1,1,gru,continuous,50,42,100
90,test,0.08803457021713257,0.9329999685287476,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
91,train,0.08540047705173492,0.9390000104904175,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
91,test,0.08803430944681168,0.934999942779541,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
92,train,0.08540021628141403,0.9399999976158142,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
92,test,0.08803405612707138,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
93,train,0.08539997041225433,0.939799964427948,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
93,test,0.08803381770849228,0.9360000491142273,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
94,train,0.08539975434541702,0.9381999969482422,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
94,test,0.08803357928991318,0.9369999766349792,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
95,train,0.08539952337741852,0.9377999901771545,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
